"name","link","values_string"
"12Call_50%",oZHBQQxS4,https://myais.ais.co.th/openMyAISApp?scheme=TopUp
"30thAIS_AISPoints_Oct20","0WHQ6WOF8",https://myais.ais.co.th/openMyAISApp?scheme=gamification%3Fmenu%3Dsurprisepoints
"30thAIS_AISPoints_Oct20","6yH6o1RT8",https://myais.ais.co.th/openMyAISApp?scheme=TodayCoupon
"30thAIS_AISPoints_Oct20",ApHn4aGs8,https://myais.ais.co.th/openMyAISApp?scheme=PrivilegeList%3Ftype%3Dpoint%26id%3D505
"30thAIS_AISPoints_Oct20",qxHDrjECO,https://myais.ais.co.th/openMyAISApp?scheme=gamification%3Fmenu%3Dsurprisepoints
"30thAIS_AISPoints_Oct20",VYHnjlvC9,https://myais.ais.co.th/openMyAISApp?scheme=gamification%3Fmenu%3Dsurprisepoints
Account linking for wongnai & News,xxHP4L1c2,https://myais.ais.co.th/openAppToApp?URI=myais%3A%2F%2FAddPointPartners
Account Linking Points plus,"3bHOVovC8",https://myais.ais.co.th/openAppToApp?URI=myais%3A%2F%2FAddPointPartners
Account Linking Points plus,J1HWVpohx,https://myais.ais.co.th/openAppToApp?URI=myais%3A%2F%2FAddPointPartners
Account Linking Points plus,wxHmaWqu1,https://myais.ais.co.th/openAppToApp?URI=myais%3A%2F%2FAddPointPartners
Account linking Starbucks,J1HbqbVix,https://myais.ais.co.th/openAppToApp?URI=myais%3A%2F%2FAddPointPartners
Adhoc 19,TrackTH,https://myais.ais.co.th/help/track-and-trace?lang=TH
Adhoc4,AppRePI,https://myais.ais.co.th/openMyAISApp?scheme=RedoPI
AIS Now_package,MYHEWlvUd,https://myais.ais.co.th
AIS Now_package,MYHEWlvUd,https://myais.ais.co.th/openMyAISApp?scheme=Package
AIS Points @ CRC & CRG May 2022,ApH8p4QH8,https://myais.ais.th/openAppToApp?URI=myais%3A%2F%2FTodayCoupon
AIS Points @ CRC & CRG May 2022,QYHERrbhx,https://myais.ais.th/openAppToApp?URI=myais%3A%2F%2FTodayCoupon
AIS Points Campaign NOV2020,"6yH62R1S8",https://myais.ais.co.th/openMyAISApp?scheme=Live360
AIS Points Campaign NOV2020,LJH2BmeHx,https://myais.ais.co.th/openMyAISApp?scheme=Live360
AIS Points Campaign NOV2020,MYHdKv0Id,https://myais.ais.co.th/openMyAISApp?scheme=Live360
AIS Points Line sticker jan 2021,wxHw4v0S1,https://myais.ais.co.th/openMyAISApp?scheme=PrivilegeList%3Ftype%3Dpoint%26id%3D525
AIS Points Sticker Card1&5_Jan2021,"7LH69oYf8",https://myais.ais.co.th/openMyAISApp?scheme=PrivilegeList%3Ftype%3Dpoint%26id%3D525
All Game New Year 2021,AllGameEMag,https://myais.ais.co.th/openAppToApp?URI=myais%3A%2F%2Fgamification
All Game New Year 2021,AllGameEmag2,https://myais.ais.co.th/openAppToApp?URI=myais%3A%2F%2Fgamification
All Game New Year 2021,allgameMMS11,https://myais.ais.co.th/openAppToApp?URI=myais%3A%2F%2Fgamification
All Game New Year 2021,AllGameTW,https://myais.ais.co.th/openAppToApp?URI=myais%3A%2F%2Fgamification
All Game New Year 2021,NyGameEmagzine22,https://myais.ais.co.th/openAppToApp?URI=myais%3A%2F%2Fgamification
